country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Norway,NOR,1/21/2021,77539,75624,1915,8540,4525,1.43,1.39,0.04,835,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/21/2021,,,,,817,,,,160,"Oxford/AstraZeneca, Pfizer/BioNTech"
Panama,PAN,1/21/2021,2728,,,2087,1364,0.06,,,316,Pfizer/BioNTech
Poland,POL,1/21/2021,644999,605313,39686,53214,33503,1.7,1.6,0.1,885,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/21/2021,,,,,13714,,,,1345,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/21/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/21/2021,348096,338252,9844,39712,25783,1.81,1.76,0.05,1340,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/21/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,1/21/2021,,,,,12948,,,,372,Pfizer/BioNTech
Scotland,,1/21/2021,363143,358454,4689,23806,19282,6.65,6.56,0.09,3529,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/21/2021,84832,84832,,40221,9528,1.25,1.25,,1400,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/21/2021,,,,,1718,,,,17470,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/21/2021,,,,,5380,,,,920,Pfizer/BioNTech
Slovakia,SVK,1/21/2021,95373,92818,2555,7319,5884,1.75,1.7,0.05,1078,Pfizer/BioNTech
Slovenia,SVN,1/21/2021,59023,50769,8254,4375,2342,2.84,2.44,0.4,1127,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/21/2021,1103301,1054245,49056,77364,61016,2.36,2.25,0.1,1305,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/21/2021,,,,,13238,,,,1311,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/21/2021,169783,,,,14826,1.96,,,1713,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/21/2021,1120258,,,67765,120115,1.33,,,1424,Sinovac
Turks and Caicos Islands,TCA,1/21/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/21/2021,2246069,,,84919,102605,22.71,,,10374,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/21/2021,5849899,5383103,466796,412615,310246,8.62,7.93,0.69,4570,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/21/2021,17546374,15053257,2394961,1021093,913912,5.25,4.5,0.72,2733,"Moderna, Pfizer/BioNTech"
Wales,,1/21/2021,212732,212317,415,21901,12318,6.75,6.73,0.01,3907,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/22/2021,,,,,34,,,,12,Pfizer/BioNTech
Argentina,ARG,1/22/2021,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V
Austria,AUT,1/22/2021,163692,121216,3540,10849,13746,1.82,1.35,0.04,1526,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,1/22/2021,,,,,3250,,,,321,"Oxford/AstraZeneca, Sputnik V"
Bahrain,BHR,1/22/2021,,,,,4084,,,,2400,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/22/2021,230477,229734,743,28892,16648,1.99,1.98,0.01,1436,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/22/2021,,,,,195,,,,3131,Pfizer/BioNTech
Brazil,BRA,1/22/2021,245877,245877,,109358,40980,0.12,0.12,,193,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,1/22/2021,26101,21496,4605,850,1139,0.38,0.31,0.07,164,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/22/2021,752377,,,45913,58593,1.99,,,1552,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/22/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/22/2021,65231,56865,8366,411,6165,0.34,0.3,0.04,323,"Pfizer/BioNTech, Sinovac"
China,CHN,1/22/2021,,,,,827224,,,,575,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/22/2021,,,,,2177,,,,427,Pfizer/BioNTech
Croatia,HRV,1/22/2021,64951,,,,3346,1.58,,,815,Pfizer/BioNTech
Cyprus,CYP,1/22/2021,17379,15322,2057,,1022,1.98,1.75,0.23,1167,Pfizer/BioNTech
Czechia,CZE,1/22/2021,198817,188403,10414,15508,11948,1.86,1.76,0.1,1116,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/22/2021,195999,181069,14930,6340,4590,3.38,3.13,0.26,792,"Moderna, Pfizer/BioNTech"
Ecuador,ECU,1/22/2021,108,108,,108,108,0,0,,6,Pfizer/BioNTech
England,,1/22/2021,5526071,5085771,440300,425596,287384,9.82,9.04,0.78,5106,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/22/2021,24196,,,2211,1074,1.82,,,810,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/22/2021,91260,,,12960,6874,1.65,,,1241,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/22/2021,959716,959716,,109336,84981,1.41,1.41,,1253,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/22/2021,1693348,1520102,173246,113759,86596,2.02,1.81,0.21,1034,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/22/2021,8877,8877,,930,535,26.35,26.35,,15880,Pfizer/BioNTech
Greece,GRC,1/22/2021,143877,141298,2579,17949,9781,1.38,1.36,0.02,938,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,1/22/2021,150128,143184,6944,5330,5326,1.55,1.48,0.07,551,Pfizer/BioNTech
Iceland,ISL,1/22/2021,,,,,560,,,,1641,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,1/22/2021,1390592,,,347058,198656,0.1,,,144,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,1/22/2021,132000,,,,13200,0.05,,,48,Sinovac
Ireland,IRL,1/22/2021,,,,,6686,,,,1354,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,1/22/2021,3648,,,90,90,4.29,,,1058,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/22/2021,3504169,2540500,963669,108283,166671,40.48,29.35,11.13,19256,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/22/2021,1368173,1321494,46679,25645,37620,2.26,2.19,0.08,622,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/22/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/22/2021,18933,16777,2156,215,306,1,0.89,0.11,162,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/22/2021,68230,59024,9206,393,2629,2.51,2.17,0.34,966,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/22/2021,,,,,558,,,,891,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,MLT,1/22/2021,17767,17767,,1236,1212,4.02,4.02,,2745,Pfizer/BioNTech
Mexico,MEX,1/22/2021,614808,594725,20083,62473,28205,0.48,0.46,0.02,219,Pfizer/BioNTech
Netherlands,NLD,1/22/2021,135000,,,,11429,0.79,,,667,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Cyprus,OWID_NCY,1/22/2021,11000,,,,1429,2.88,,,3739,"Pfizer/BioNTech, Sinovac"
Northern Ireland,,1/22/2021,177026,154366,22660,3477,5664,9.35,8.15,1.2,2991,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/22/2021,80821,78899,1922,3282,4355,1.49,1.46,0.04,803,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/22/2021,,,,,830,,,,163,"Oxford/AstraZeneca, Pfizer/BioNTech"
Panama,PAN,1/22/2021,5081,,,2353,1694,0.12,,,393,Pfizer/BioNTech
Poland,POL,1/22/2021,684277,638798,45479,39278,35331,1.81,1.69,0.12,934,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/22/2021,212000,,,,15143,2.08,,,1485,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/22/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/22/2021,385936,374681,11255,37840,28895,2.01,1.95,0.06,1502,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/22/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,1/22/2021,,,,,11302,,,,325,Pfizer/BioNTech
Scotland,,1/22/2021,385855,380667,5188,22712,20597,7.06,6.97,0.09,3770,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/22/2021,119711,119711,,34879,13880,1.76,1.76,,2040,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/22/2021,16890,16890,,,1841,17.18,17.18,,18721,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/22/2021,60000,60000,,,5380,1.03,1.03,,920,Pfizer/BioNTech
Slovakia,SVK,1/22/2021,102143,99455,2688,6770,5729,1.87,1.82,0.05,1049,Pfizer/BioNTech
Slovenia,SVN,1/22/2021,61191,51967,9224,2168,1972,2.94,2.5,0.44,949,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/22/2021,1165825,1097369,68456,62524,56696,2.49,2.35,0.15,1213,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/22/2021,,,,,14000,,,,1386,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/22/2021,,,,,14883,,,,1720,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/22/2021,1202212,,,81954,83651,1.43,,,992,Sinovac
Turks and Caicos Islands,TCA,1/22/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/22/2021,2339078,,,93009,96156,23.65,,,9722,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/22/2021,6329968,5861351,468617,480069,331933,9.32,8.63,0.69,4890,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/22/2021,19107959,16243093,2756953,1561585,975540,5.71,4.86,0.82,2917,"Moderna, Pfizer/BioNTech"
Wales,,1/22/2021,241016,240547,469,28284,15148,7.64,7.63,0.01,4804,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/23/2021,,,,,26,,,,9,Pfizer/BioNTech
Argentina,ARG,1/23/2021,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V
Austria,AUT,1/23/2021,168700,132105,4243,5008,13233,1.87,1.47,0.05,1469,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,1/23/2021,,,,,3250,,,,321,"Oxford/AstraZeneca, Sputnik V"
Bahrain,BHR,1/23/2021,,,,,2555,,,,1502,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/23/2021,238342,237592,750,7865,17054,2.06,2.05,0.01,1471,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/23/2021,2932,2932,,,181,4.71,4.71,,2907,Pfizer/BioNTech
Brazil,BRA,1/23/2021,537774,537774,,291897,76825,0.25,0.25,,361,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,1/23/2021,26119,21509,4610,18,1112,0.38,0.31,0.07,160,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/23/2021,,781559,59217,,57133,,2.07,0.16,1514,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/23/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/23/2021,65231,56865,8366,0,6152,0.34,0.3,0.04,322,"Pfizer/BioNTech, Sinovac"
China,CHN,1/23/2021,,,,,883694,,,,614,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/23/2021,,,,,2344,,,,460,Pfizer/BioNTech
Croatia,HRV,1/23/2021,,,,,2960,,,,721,Pfizer/BioNTech
Cyprus,CYP,1/23/2021,,,,,1035,,,,1182,Pfizer/BioNTech
Czechia,CZE,1/23/2021,202656,191403,11253,3839,12022,1.89,1.79,0.11,1123,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/23/2021,203899,181840,22059,7900,5059,3.52,3.14,0.38,873,"Moderna, Pfizer/BioNTech"
Ecuador,ECU,1/23/2021,,,,,294,,,,17,Pfizer/BioNTech
England,,1/23/2021,5970175,5529101,441074,444104,311226,10.61,9.82,0.78,5529,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/23/2021,25704,,,1508,1106,1.94,,,834,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/23/2021,,,,,7253,,,,1309,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/23/2021,995147,995147,,35431,87546,1.47,1.47,,1291,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/23/2021,1784577,1568623,215954,91229,91513,2.13,1.87,0.26,1092,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/23/2021,9807,9807,,930,566,29.11,29.11,,16800,Pfizer/BioNTech
Greece,GRC,1/23/2021,160101,156966,3135,16224,11387,1.54,1.51,0.03,1092,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,1/23/2021,153392,145257,8135,3264,4778,1.59,1.5,0.08,495,Pfizer/BioNTech
Iceland,ISL,1/23/2021,,,,,809,,,,2371,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,1/23/2021,1582201,,,191609,198717,0.11,,,144,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,1/23/2021,,,,,12546,,,,46,Sinovac
Ireland,IRL,1/23/2021,,,,,6843,,,,1386,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,1/23/2021,,,,,138,,,,1623,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/23/2021,3597217,2580268,1016949,93048,172035,41.56,29.81,11.75,19876,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/23/2021,1406433,1327100,79333,38260,33908,2.33,2.19,0.13,561,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/23/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/23/2021,,16903,,,343,,0.9,,182,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/23/2021,68238,59032,9206,8,2474,2.51,2.17,0.34,909,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/23/2021,,,,,592,,,,946,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,MLT,1/23/2021,18930,18930,,1163,1204,4.29,4.29,,2727,Pfizer/BioNTech
Mexico,MEX,1/23/2021,618768,596296,22472,3960,22217,0.48,0.46,0.02,172,Pfizer/BioNTech
Netherlands,NLD,1/23/2021,,,,,10687,,,,624,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,1/23/2021,178331,155644,22687,1305,5396,9.42,8.22,1.2,2849,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/23/2021,81174,79252,1922,353,4300,1.5,1.46,0.04,793,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/23/2021,30675,24773,5902,,843,0.6,0.49,0.12,165,"Oxford/AstraZeneca, Pfizer/BioNTech"
Panama,PAN,1/23/2021,5594,,,513,1398,0.13,,,324,Pfizer/BioNTech
Poland,POL,1/23/2021,701164,654184,46980,16887,34837,1.85,1.73,0.12,920,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/23/2021,232725,,,20725,15940,2.28,,,1563,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/23/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/23/2021,418885,406006,12879,32949,31828,2.18,2.11,0.07,1654,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/23/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,1/23/2021,,,,,9656,,,,277,Pfizer/BioNTech
Scotland,,1/23/2021,409421,404038,5383,23566,22034,7.49,7.4,0.1,4033,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/23/2021,163355,163355,,43644,19485,2.4,2.4,,2864,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/23/2021,18353,18353,,1463,1622,18.66,18.66,,16494,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/23/2021,,,,,6127,,,,1047,Pfizer/BioNTech
Slovakia,SVK,1/23/2021,102419,99731,2688,276,5574,1.88,1.83,0.05,1021,Pfizer/BioNTech
Slovenia,SVN,1/23/2021,61903,52198,9705,712,2028,2.98,2.51,0.47,976,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/23/2021,,,,,55680,,,,1191,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/23/2021,,,,,14761,,,,1462,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/23/2021,,,,,14939,,,,1726,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/23/2021,1226883,,,24671,78569,1.45,,,932,Sinovac
Turks and Caicos Islands,TCA,1/23/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/23/2021,2426798,,,87720,89839,24.54,,,9083,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/23/2021,6822981,6353321,469660,493013,362307,10.05,9.36,0.69,5337,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/23/2021,20537990,17390345,3027865,1430031,1057387,6.14,5.2,0.91,3162,"Moderna, Pfizer/BioNTech"
Wales,,1/23/2021,265054,264538,516,24038,17371,8.41,8.39,0.02,5510,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/24/2021,,,,,21,,,,7,Pfizer/BioNTech
Argentina,ARG,1/24/2021,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,Sputnik V
Austria,AUT,1/24/2021,171416,135249,4289,2716,12773,1.9,1.5,0.05,1418,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,1/24/2021,,,,,3250,,,,321,"Oxford/AstraZeneca, Sputnik V"
Bahrain,BHR,1/24/2021,,,,,2445,,,,1437,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,1/24/2021,240188,239438,750,1846,16860,2.07,2.07,0.01,1455,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,1/24/2021,,,,,195,,,,3131,Pfizer/BioNTech
Brazil,BRA,1/24/2021,604722,604722,,66948,86373,0.28,0.28,,406,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,1/24/2021,26143,21533,4610,24,1099,0.38,0.31,0.07,158,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,1/24/2021,,,,,55673,,,,1475,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,1/24/2021,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,1/24/2021,65231,56865,8366,0,6152,0.34,0.3,0.04,322,"Pfizer/BioNTech, Sinovac"
China,CHN,1/24/2021,,,,,940163,,,,653,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,1/24/2021,,,,,2510,,,,493,Pfizer/BioNTech
Croatia,HRV,1/24/2021,,,,,2800,,,,682,Pfizer/BioNTech
Cyprus,CYP,1/24/2021,,,,,1048,,,,1196,Pfizer/BioNTech
Czechia,CZE,1/24/2021,205718,193607,12111,3062,12021,1.92,1.81,0.11,1123,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,1/24/2021,211105,182452,28653,7206,5624,3.64,3.15,0.49,971,"Moderna, Pfizer/BioNTech"
Ecuador,ECU,1/24/2021,,,,,355,,,,20,Pfizer/BioNTech
Egypt,EGY,1/24/2021,0,,,,,0,,,,Sinopharm/Beijing
England,,1/24/2021,6169377,5727693,441684,199202,317419,10.96,10.18,0.78,5639,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,1/24/2021,25964,,,260,1112,1.96,,,838,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,FIN,1/24/2021,,,,,7633,,,,1378,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,1/24/2021,1003968,1003968,,8821,87437,1.48,1.48,,1289,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,1/24/2021,1850251,1606524,243727,65674,94533,2.21,1.92,0.29,1128,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,1/24/2021,10341,10341,,534,642,30.69,30.69,,19056,Pfizer/BioNTech
Greece,GRC,1/24/2021,,,,,12412,,,,1191,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Guernsey,GGY,1/24/2021,6673,6151,522,,,9.95,9.17,0.78,,Pfizer/BioNTech
Hungary,HUN,1/24/2021,156098,146695,9403,2706,4701,1.62,1.52,0.1,487,Pfizer/BioNTech
Iceland,ISL,1/24/2021,,,,,1057,,,,3097,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,1/24/2021,1615504,,,33303,198743,0.12,,,144,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,1/24/2021,149242,,,,11892,0.05,,,43,Sinovac
Ireland,IRL,1/24/2021,143000,,,,7000,2.9,,,1418,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,1/24/2021,,,,,155,,,,1823,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,1/24/2021,3805508,2649093,1156415,208291,180014,43.97,30.61,13.36,20798,"Moderna, Pfizer/BioNTech"
Italy,ITA,1/24/2021,1439990,1330103,109887,33557,33547,2.38,2.2,0.18,555,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jersey,JEY,1/24/2021,11385,8334,3051,,,11.26,8.25,3.02,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,1/24/2021,,,,,1121,,,,262,Pfizer/BioNTech
Latvia,LVA,1/24/2021,,,,,381,,,,202,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,1/24/2021,,,,,2320,,,,852,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,1/24/2021,,,,,626,,,,1000,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,MLT,1/24/2021,19981,18783,1198,1051,1182,4.53,4.25,0.27,2677,Pfizer/BioNTech
Mexico,MEX,1/24/2021,629626,604441,25185,10858,22498,0.49,0.47,0.02,174,Pfizer/BioNTech
Netherlands,NLD,1/24/2021,146612,,,,9945,0.86,,,580,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,1/24/2021,182355,159642,22713,4024,5089,9.63,8.43,1.2,2687,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,1/24/2021,81240,79318,1922,66,4260,1.5,1.46,0.04,786,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,1/24/2021,32765,24773,7992,2090,1046,0.64,0.49,0.16,205,"Oxford/AstraZeneca, Pfizer/BioNTech"
Panama,PAN,1/24/2021,6420,,,826,1284,0.15,,,298,Pfizer/BioNTech
Poland,POL,1/24/2021,707474,659753,47721,6310,34001,1.87,1.74,0.13,898,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,1/24/2021,,,,,15242,,,,1495,"Moderna, Pfizer/BioNTech"
Qatar,QAT,1/24/2021,,,,,1351,,,,469,Pfizer/BioNTech
Romania,ROU,1/24/2021,446285,433129,13156,27400,34461,2.32,2.25,0.07,1791,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,1/24/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,1/24/2021,,,,,8009,,,,230,Pfizer/BioNTech
Scotland,,1/24/2021,420940,415402,5538,11519,21750,7.7,7.6,0.1,3981,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,1/24/2021,217800,217800,,54445,26632,3.2,3.2,,3914,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,1/24/2021,,,,,1542,,,,15680,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,1/24/2021,,,,,6874,,,,1175,Pfizer/BioNTech
Slovakia,SVK,1/24/2021,102419,99731,2688,0,5567,1.88,1.83,0.05,1020,Pfizer/BioNTech
Slovenia,SVN,1/24/2021,62052,52214,9838,149,2049,2.98,2.51,0.47,986,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,1/24/2021,1237593,1148895,88698,,54664,2.65,2.46,0.19,1169,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,1/24/2021,227275,217738,9537,,15523,2.25,2.16,0.09,1537,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,1/24/2021,197368,,,,14995,2.28,,,1733,"Moderna, Pfizer/BioNTech"
Turkey,TUR,1/24/2021,1244653,,,17770,76886,1.48,,,912,Sinovac
Turks and Caicos Islands,TCA,1/24/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,1/24/2021,2487789,,,60991,86430,25.15,,,8739,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,1/24/2021,7044048,6573570,470478,221067,361321,10.38,9.68,0.69,5322,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,1/24/2021,21848655,18502131,3216836,1310665,1122182,6.53,5.53,0.96,3355,"Moderna, Pfizer/BioNTech"
Wales,,1/24/2021,271376,270833,543,6322,17063,8.61,8.59,0.02,5412,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,1/25/2021,,,,,15,,,,5,Pfizer/BioNTech
Andorra,AND,1/25/2021,576,576,,,,0.75,0.75,,,Pfizer/BioNTech
Argentina,ARG,1/25/2021,292386,260122,32264,363,9046,0.65,0.58,0.07,200,Sputnik V
Austria,AUT,1/25/2021,177179,137044,4306,5763,12601,1.97,1.52,0.05,1399,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,1/25/2021,,,,,3250,,,,321,"Oxford/AstraZeneca, Sputnik V"
